Code,Category,Group,Activity Name,Arabic Name,Third Party,When,Notes
4742.01,Wholesale and Retail,474,Retail sale of radio and television equipment,بيع معدات الراديو والتليفزيون بالتجزئة,N/A,N/A,
4742.02,Wholesale and Retail,474,Retail sale of stereo equipment,بيع معدات الاستيريو بالتجزئة,N/A,N/A,
4742.03,Wholesale and Retail,474,Retail sale of CD and DVD players and recorders,بيع أجهزة تشغيل الأقراص الحاسوبية المدمجة وأقراص الفيديو الرقمية بالتجزئة,N/A,N/A,
4751,Wholesale and Retail,475,Retail sale of textiles in specialized stores,بيع المنسوجات بالتجزئة في المتاجر المتخصصة,N/A,N/A,
4751.01,Wholesale and Retail,475,Retail sale of fabrics,بيع الأقمشة بالتجزئة,N/A,N/A,
4751.02,Wholesale and Retail,475,Retail sale of knitting yarn,بيع غزل التريكو بالتجزئة,N/A,N/A,
4751.03,Wholesale and Retail,475,"Retail sale of basic materials for rug, tapestry or embroidery making",بيع المواد الأساسية المستخدمة ُفي صنع السجاد أو البُسط أو المطرزات بالتجزئة,N/A,N/A,
4751.04,Wholesale and Retail,475,Retail sale of textiles,بيع المنسوجات بالتجزئة,N/A,N/A,
4751.05,Wholesale and Retail,475,"Retail sale of haberdashery: needles, sewing thread etc.",بيع الخردوات بالتجزئة: الإبر وخيوط الحياكة، إلخ,N/A,N/A,
4752,Wholesale and Retail,475,"Retail sale of hardware, paints and glass in specialized stores",بيع الأدوات المعدنية والطلاء والزجاج بالتجزئة في المتاجر المتخصصة,N/A,N/A,
4752.01,Wholesale and Retail,475,Retail sale of hardware,بيع الأدوات المعدنية بالتجزئة,N/A,N/A,
4752.02,Wholesale and Retail,475,"Retail sale of paints, varnishes and lacquers",بيع الدهانات والطلاءات والورنيشات بالتجزئة,N/A,N/A,
4752.03,Wholesale and Retail,475,Retail sale of flat glass,بيع ألواح الزجاج بالتجزئة,N/A,N/A,
4752.04,Wholesale and Retail,475,"Retail sale of other building material such as bricks, wood, sanitary equipment",بيع مواد البناء الأخرى بالتجزئة، مثل الطوب والخشب والمعدات الصحية,N/A,N/A,
4752.05,Wholesale and Retail,475,Retail sale of do-it-yourself material and equipment,بيع المواد والمعدات التي يستعملها الشخص بنفسه بالتجزئة,N/A,N/A,
4752.06,Wholesale and Retail,475,"Retail sale of lawnmowers, however operated",بيع آلات قص الحشائش بالتجزئة، أيا كانت وسيلة تشغيلها,N/A,N/A,
4752.07,Wholesale and Retail,475,Retail sale of saunas,بيع حمامات الساونا بالتجزئة,N/A,N/A,
4752.95,Wholesale and Retail,475,Waste paper trading,تجارة مخلفات الورق,N/A,N/A,
4753,Wholesale and Retail,475,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores",بيع السجاد والبُسط وكسوة الأرضيات والحوائط بالتجزئة في المحلات المتخصصة,N/A,N/A,
4753.01,Wholesale and Retail,475,Retail sale of carpets and rugs,بيع السجاد والبُسط بالتجزئة,N/A,N/A,
4753.02,Wholesale and Retail,475,Retail sale of curtains and net curtains,بيع الستائر والستائر المحبوكة بالتجزئة,N/A,N/A,
4753.03,Wholesale and Retail,475,Retail sale of wallpaper and floor coverings,بيع كسوة الأرضيات وورق الحائط بالتجزئة,N/A,N/A,
4759,Wholesale and Retail,475,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",البيع بالتجزئة للأجهزة الكهربائية المنزلية والأثاث ومعدات الإضاءة وغيرها من الأصناف المنزلية في المتاجر المتخصصة,N/A,N/A,
4759.01,Wholesale and Retail,475,Retail sale of household furniture,بيع الأثاث المنزلي بالتجزئة,N/A,N/A,
4759.02,Wholesale and Retail,475,Retail sale of articles for lighting,بيع أدوات الإضاءة بالتجزئة,N/A,N/A,
4759.03,Wholesale and Retail,475,"Retail sale of household utensils and cutlery, crockery, glassware, china and pottery",بيع الأواني المنزلية وأدوات المائدة والخزفيات والأواني الزجاجية والصيني والأواني الفخارية بالتجزئة,N/A,N/A,
4759.04,Wholesale and Retail,475,"Retail sale of wooden, cork and wickerwork goods",بيع السلع الخشبية والمصنوعة من الفلّين والخوص بالتجزئة,N/A,N/A,
4759.05,Wholesale and Retail,475,Retail sale of household appliances,بيع الأجهزة المنزلية بالتجزئة,N/A,N/A,
4759.06,Wholesale and Retail,475,Retail sale of musical instruments and scores,بيع الأدوات الموسيقية والمدّونات الموسيقية بالتجزئة,N/A,N/A,
4759.07,Wholesale and Retail,475,"Retail sale of security systems, such as locking devices, safes, and vaults, without installation or maintenance services",بيع أجهزة الأمان بالتجزئة، مثل الأقفال والخزائن، دون تركيب أو خدمات صيانة,N/A,N/A,
4759.08,Wholesale and Retail,475,Retail sale of household articles and equipment n.e.c.,البيع بالتجزئة للأدوات والمعدات المنزلية، غير المصنفة في موضع آخر,N/A,N/A,
4759.09,Wholesale and Retail,475,Light fitting & fixtures trading,تجارة ادوات الانارة ولوازمها,N/A,N/A,
4761,Wholesale and Retail,476,"Retail sale of books, newspapers and stationary in specialized stores",بيع الكتب والصحف والأدوات الكتابية بالتجزئة في المتاجر المتخصصة,UAE Media Council,POST,
4761.01,Wholesale and Retail,476,Retail sale of books of all kinds,بيع الكتب بالتجزئة من جميع الأنواع,UAE Media Council,POST,
4761.02,Wholesale and Retail,476,Retail sale of newspapers and stationery,بيع الصحف والمجلات والأدوات الكتابية بالتجزئة,UAE Media Council,POST,
4761.03,Wholesale and Retail,476,"Retail sale of office supplies such as pens, pencils, paper etc.",بيع التجهيزات المكتبية بالتجزئة، مثل أقلام الحبر والرصاص والأوراق، إلخ,N/A,N/A,
4762,Wholesale and Retail,476,Retail sale of music and video recordings in specialized stores,بيع التسجيلات الموسيقية وتسجيلات الفيديو بالتجزئة في المتاجر المتخصصة,UAE Media Council,POST,
4762.01,Wholesale and Retail,476,"Retail sale of musical records, audio tapes, compact discs and cassettes",بيع الأسطوانات والشرائط والأقراص والكاسيتات الموسيقية بالتجزئة,UAE Media Council,POST,
4762.02,Wholesale and Retail,476,Retail sale of video tapes and DVDs,بيع شرائط الفيديو وأقراص الفيديو الرقمية بالتجزئة,N/A,N/A,
4762.03,Wholesale and Retail,476,Retail sale of blank tapes and discs,بيع الشرائط والأقراص غير المسّجلة بالتجزئة,N/A,N/A,
4763,Wholesale and Retail,476,Retail sale of sporting equipment in specialized stores,بيع الأدوات الرياضية بالتجزئة في المتاجر المتخصصة,N/A,N/A,
4763.01,Wholesale and Retail,476,"Retail sale of sports goods, fishing gear, camping goods, boats and bicycles",البيع بالتجزئة للأدوات الرياضية وأدوات الصيد وأدوات المخيّمات والزوارق والدّراجات,N/A,N/A,
4764,Wholesale and Retail,476,Retail sale of games and toys in specialized stores,بيع الألعاب والّلعب بالتجزئة في المتاجر المتخصصة,N/A,N/A,
4764.01,Wholesale and Retail,476,"Retail sale of games and toys, made of all materials",بيع الألعاب واللُعب بالتجزئة، أيا كانت المادة المصنوعة منها,N/A,N/A,
4771,Wholesale and Retail,477,"Retail sale of clothing, footwear and leather articles in specialized stores",بيع الملبوسات والأحذية والأصناف الجلدية بالتجزئة في المتاجر المتخصصة,N/A,N/A,
4771.01,Wholesale and Retail,477,Retail sale of articles of clothing,بيع أصناف معينة من الملبوسات بالتجزئة,N/A,N/A,
4771.02,Wholesale and Retail,477,Retail sale of articles of fur,بيع أصناف معينة من الفراء بالتجزئة,N/A,N/A,
4771.03,Wholesale and Retail,477,"Retail sale of clothing accessories such as gloves, ties, braces etc.",بيع ملحقات الملبوسات بالتجزئة، مثل القفازات وأربطة العنق وحمالات السراويل وما إليها,N/A,N/A,
4771.04,Wholesale and Retail,477,Retail sale of umbrellas,بيع المظلات بالتجزئة,N/A,N/A,
4771.05,Wholesale and Retail,477,Retail sale of footwear,بيع الأحذية بالتجزئة,N/A,N/A,
4771.06,Wholesale and Retail,477,Retail sale of leather goods,بيع المنتجات الجلدية بالتجزئة,N/A,N/A,
4771.07,Wholesale and Retail,477,Retail sale of travel accessories of leather and leather substitutes,بيع مستلزمات السفر من الجلود وبدائل الجلود بالتجزئة,N/A,N/A,
4772,Wholesale and Retail,477,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",بيع المنتجات الصيدلانية والطبية ومستحضرات التجميل وأدوات الزينة بالتجزئة في متاجر متخصصة,Ministry of Health / Sharjah Municipality,PRE,
4772.01,Wholesale and Retail,477,Retail sale of pharmaceuticals,بيع المواد الصيدلانية بالتجزئة,Ministry of Health / Sharjah Municipality,PRE,
4772.02,Wholesale and Retail,477,Retail sale of medical and orthopedic goods,بيع السلع الطبية والتعويضية بالتجزئة,Ministry of Health / Sharjah Municipality,PRE,
4772.03,Wholesale and Retail,477,Retail sale of perfumery and cosmetic articles,بيع العطور ومستحضرات التجميل بالتجزئة,N/A,N/A,
4773,Wholesale and Retail,477,Other retail sale of new goods in specialized stores,بيع البضائع الجديدة الأخرى بالتجزئة في متاجر متخصصة,N/A,N/A,
4773.01,Wholesale and Retail,477,"Retail sale of photographic, optical and precision equipment",بيع المعدات الفوتوغرافية والبصرية والمعدات الدقيقة بالتجزئة,N/A,N/A,
4773.02,Wholesale and Retail,477,Activities of opticians,أنشطة المتخصصين في مجال البصريات,Ministry of Health,PRE,
4773.04,Wholesale and Retail,477,"Retail sale of flowers, plants, seeds, fertilizers and pet food",بيع الزهور والنباتات والبذور والأسمدة وأغذية الحيوانات الأليفة بالتجزئة,Sharjah Municipality,POST,
4773.05,Wholesale and Retail,477,Retail sale of souvenirs and craftwork,بيع الهدايا التذكارية ومنتجات الحرف اليدوية بالتجزئة,N/A,N/A,
4773.06,Wholesale and Retail,477,Activities of commercial art galleries,أنشطة المعارض الفنية التجارية,N/A,N/A,
4773.08,Wholesale and Retail,477,Retail sale of cleaning materials,بيع أدوات التنظيف بالتجزئة,N/A,N/A,
4773.09,Wholesale and Retail,477,Retail sale of stamps and coins,بيع طوابع البريد والعملات بالتجزئة,N/A,N/A,
4773.1,Wholesale and Retail,477,Retail sale of non-food products n.e.c.,بيع المنتجات غير الغذائية غير المصنفة موضع آخر بالتجزئة,N/A,N/A,
4773.19,Wholesale and Retail,477,Detergents trading,تجارة المنظفات,Sharjah Municipality,POST,
4774,Wholesale and Retail,477,Retail sale of second-hand goods,بيع البضائع المستعملة بالتجزئة,N/A,N/A,
4774.01,Wholesale and Retail,477,Retail sale of second-hand books,بيع الكتب المستعملة بالتجزئة,N/A,N/A,
4774.02,Wholesale and Retail,477,Retail sale of other second-hand goods,بيع السلع الأخرى المستعملة بالتجزئة,N/A,N/A,
4774.03,Wholesale and Retail,477,Retail sale of antiques,بيع التحف القديمة بالتجزئة,N/A,N/A,
4774.04,Wholesale and Retail,477,Activities of auctioning houses (retail),أنشطة بيوت المزادات (بالتجزئة),N/A,N/A,
4781,Wholesale and Retail,478,Retail sale via stalls and markets of food and beverages,بيع الأغذية والمشروبات بالتجزئة في الأكشاك والأسواق,Sharjah Municipality,PRE,
4781.01,Wholesale and Retail,478,Retail sale of food and beverages via stalls or markets,بيع الأغذية والمشروبات في الأكشاك والأسواق بالتجزئة,Sharjah Municipality,PRE,
4782,Wholesale and Retail,478,"Retail sale via stalls and markets of textiles, clothing and footwear",بيع المنسوجات والملبوسات والأحذية بالتجزئة في الأكشاك والأسواق,N/A,N/A,
4782.01,Wholesale and Retail,478,"Retail sale of textiles, clothing and footwear via stalls or markets",بيع المنسوجات والملبوسات والأحذية بالتجزئة في الأكشاك والأسواق,N/A,N/A,
4789,Wholesale and Retail,478,Retail sale via stalls and markets of other goods,بيع السلع الأخرى بالتجزئة في الأكشاك والأسواق,N/A,N/A,
4789.01,Wholesale and Retail,478,"Retail sale of other goods via stalls or markets, such as:• Carpets and rugs• Books• Games and toys• Household appliances and consumer electronics• Music and video recordings","بيع السلع الأخرى بالتجزئة في الأكشاك والأسواق، مثل: 
• البُسط والسجاد
• الكتب
• الألعاب والّلعب
• الأجهزة المنزلية والأجهزة الإلكترونية الاستهلاكية
• التسجيلات الموسيقية وتسجيلات الفيديو",N/A,N/A,
4791,Wholesale and Retail,479,Retail sale via mail order houses or via Internet,البيع بالتجزئة عن طريق بيوت تنفيذ طلبات الشراء أو عن طريق الإنترنت,N/A,N/A,
4791.01,Wholesale and Retail,479,Retail sale of any kind of product by mail order,بيع أي نوع من أنواع المنتجات بالتجزئة عن طريق البريد,N/A,N/A,
4791.02,Wholesale and Retail,479,Retail sale of any kind of product over the internet,بيع أي نوع من أنواع المنتجات بالتجزئة عن طريق الانترنت,N/A,N/A,
4791.03,Wholesale and Retail,479,Direct sale via television and radio,البيع المباشر عن طريق التليفزيون والإذاعة,N/A,N/A,
4791.04,Wholesale and Retail,479,Internet retail auctions,مزادات البيع بالتجزئة على الإنترنت,N/A,N/A,
4791.09,Wholesale and Retail,479,"E-trading of jewellery, pearls, and precious stones",تجارة إلكترونية للمجوهرات واللؤلؤ والأحجار الكريمة,N/A,N/A,
4791.1,Wholesale and Retail,479,E-commerce through websites,المتاجرة الإلكترونية من خلال المواقع الإلكترونية,N/A,N/A,
4799,Wholesale and Retail,479,"Other retail sale not in stores, stalls or markets",أنواع البيع بالتجزئة الأخرى خارج المتاجر والأكشاك والأسواق,N/A,N/A,
4799.01,Wholesale and Retail,479,Retail sale of any kind of product:• By direct sales or door-to-door sales persons• Through vending machines etc.,"بيع أي نوع من المنتجات بالتجزئة: 
• بالبيع المباشر أو عن طريق البائعين الجوالين
• من خلال ماكينات البيع وما إليها",N/A,N/A,
4799.02,Wholesale and Retail,479,"Direct selling of fuel (heating oil, fire wood etc.), delivered directly to the customers premises",البيع المباشر للوقود (زيت التدفئة وخشب الوقود وما إليهما) ، وتوصيله مباشرة إلى أماكن الزبائن,N/A,N/A,
4799.03,Wholesale and Retail,479,Activities of non-store auctions (retail),أنشطة المزادات في غير المتاجر (بالتجزئة),N/A,N/A,
4799.04,Wholesale and Retail,479,Retail sale by (non-store) commission agents,البيع بالتجزئة عن طريق عملاء بالعمولة (في غير المتاجر),N/A,N/A,
5210.04,Service and Consultancy,521,Self storage services,خدمات التخزين الذاتي,N/A,N/A,
5220,Service and Consultancy,522,Support activities for transportation,الأنشطة الداعمة للنقل,N/A,N/A,
5224,Service and Consultancy,522,Cargo handling,مناولة البضائع,N/A,N/A,
5224.01,Service and Consultancy,522,Loading and unloading of goods or passengers’ luggage irrespective of the mode of transport used for transportation,شحن وتفريغ البضائع أو حقائب الركاب بغض النظر عن طريقة النقل المستعملة,N/A,N/A,
5224.02,Service and Consultancy,522,Stevedoring,شحن السفن أو تفريغها,N/A,N/A,
5224.03,Service and Consultancy,522,Loading and unloading of freight railway cars,تحميل وتفريغ عربات البضائع على السكك الحديدية,N/A,N/A,
5224.98,Service and Consultancy,522,Cargo packaging,خدمات حزم البضائع,N/A,N/A,
5229,Service and Consultancy,522,Other transportation support activities,أنشطة دعم النقل الأخرى,N/A,N/A,
5229.01,Service and Consultancy,522,Forwarding of freight,إرسال البضائع,N/A,N/A,
5229.02,Service and Consultancy,522,"Arranging or organizing of transport operations by rail, road, sea or air",ترتيب أو تنظيم عمليات النقل بالسكك الحديدية والنقل البري والبحري والجوي,N/A,N/A,
5229.03,Service and Consultancy,522,Organization of group and individual consignments (including pickup and delivery of goods and grouping of consignments),تنظيم الشحنات الجماعية والفردية (بما في ذلك تسلم البضائع وتوصيلها و تجميع الشحنات),N/A,N/A,
5229.04,Service and Consultancy,522,"Logistics activities, i.e. planning, designing and supporting operations of transportation, warehousing and distribution",الأنشطة اللوجستية، أي عمليات التخطيط والتصميم والعمليات الداعمة للنقل والتخزين والتوزيع,N/A,N/A,
5229.06,Service and Consultancy,522,Activities of customs agents,أنشطة الوكلاء الجمركيين,Sharjah Ports and Customs,PRE,
5229.07,Service and Consultancy,522,Activities of sea-freight forwarders and air-cargo agents,أنشطة وكلاء إرسال البضائع بالبحر والجو,Department Of Civil Aviation & Sharjah Airport Authority / Sharjah Ports and Customs,PRE,
5229.09,Service and Consultancy,522,"Goods-handling operations, e.g. temporary crating for the sole purpose of protecting the goods during transit, uncrating, sampling, weighing of goods",عمليات مناولة البضائع، مثل التعبئة المؤقتة في صناديق لغرض حماية البضاعة أثناء النقل، وتفريغ البضاعة من الصناديق وفرزها ووزنها,N/A,N/A,
5229.9,Service and Consultancy,522,Transport consultancies,استشارات النقل,N/A,N/A,
5310.03,Service and Consultancy,531,Distribution and delivery of mail and parcels  postal service,توزيع وتسليم البريد والطرود,N/A,N/A,
5320,Service and Consultancy,532,Courier activities,أنشطة شركات نقل البريد الخاصة,Emirates Post Sharjah Central Post Office,PRE,
5320.01,Service and Consultancy,532,"Pickup, sorting, transport and delivery (domestic or international) of letter-post and (mail-type) parcels and packages by firms not operating under a universal service obligation. one or more modes of transport may be involved and the activity may be carried out with either self-owned (private) transport or via public transport.",تسلم وفرز ونقل وتوصيل الرسائل البريدية والطرود البريدية والُرزم (محليا ودوليا) من قِبل شركات تعمل وفق التزام الخدمة البريدية العامة الشاملة. ويمكن أن تستخدم وسيلة نقل أو أكثر هذا النشاط كما يمكن القيام به باستخدام وسائل النقل الخاصة أو العامة,Emirates Post Sharjah Central Post Office,PRE,
5320.02,Service and Consultancy,532,Distribution and delivery of mail and parcels,توزيع وتوصيل الرسائل البريدية والطرود,Emirates Post Sharjah Central Post Office,PRE,
5320.03,Service and Consultancy,532,Home delivery services,خدمات التوصيل للمنازل,Emirates Post Sharjah Central Post Office,PRE,
5510.01,Service and Consultancy,551,Short-term rental management,إدارة الإيجارات قصيرة المدى,N/A,N/A,
5610,Service and Consultancy,561,Restaurants and mobile food service activities,أنشطة المطاعم وخدمات الأطعمة المتنقلة,Sharjah City Municipality - Public Health Department,POST,
5610.01,Service and Consultancy,561,Restaurants,المطاعم,Sharjah City Municipality - Public Health Department,POST,
5610.02,Service and Consultancy,561,Cafeterias,الكافيتريات,Sharjah City Municipality - Public Health Department,POST,
5610.03,Service and Consultancy,561,Fast-food restaurants,مطاعم الوجبات السريعة,Sharjah City Municipality - Public Health Department,POST,
5610.04,Service and Consultancy,561,Pizza delivery,توصيل البيتزا,N/A,N/A,
5610.05,Service and Consultancy,561,Take-out eating places,أماكن تقدم الوجبات التي تحمل إلى خارج المحل,N/A,N/A,
5610.06,Service and Consultancy,561,Ice cream truck vendors,عربات بيع الآيس كريم,N/A,N/A,
5610.07,Service and Consultancy,561,Mobile food carts,عربات بيع الأطعمة المتنقلة,Food Control Section - Sharjah Municibality,POST,
5610.08,Service and Consultancy,561,Food preparation in market stalls,تحضير الوجبات في الأكشاك و الأسواق,Sharjah City Municipality - Public Health Department,POST,
5621,Service and Consultancy,562,Event catering,تقديم وجبات الطعام في المناسبات,Sharjah City Municipality - Public Health Department,POST,
5629,Service and Consultancy,562,Other food service activities,أنشطة خدمات الطعام الأخرى,Food Control Section - Sharjah Municibality,POST,
5629.01,Service and Consultancy,562,Activities of food service contractors (e.g. for transportation companies),أنشطة المتعهدين الذين يقدمون خدمات الطعام (مثلا لشركات النقل),N/A,N/A,
5629.02,Service and Consultancy,562,Operation of food concessions at sports and similar facilities,تشغيل خدمات تقديم الطعام في المرافق الرياضية وما شابهها على أساس امتياز محدد,N/A,N/A,
5629.03,Service and Consultancy,562,"Operation of canteens or cafeterias (e.g. for factories, offices, hospitals or schools) on a concession basis",تشغيل المقاصف والكافيتريات (مثلا المصانع والمكاتب والمستشفيات والمدارس) على أساس امتياز محدد,Sharjah City Municipality - Public Health Department,POST,
5811,Media,581,Book publishing,نشر الكُتب,UAE Media Council,POST,
5811.01,Media,581,"Publishing of books, brochures, leaflets and similar publications, including publishing of dictionaries and encyclopedias",نشر الُكتب والكتيبات والنشرات وغيرها من المطبوعات بما في ذلك نشر القواميس ودوائر المعارف,UAE Media Council,POST,
5811.02,Media,581,"Publishing of atlases, maps and charts",نشر الأطالس والخرائط واللوحات,UAE Media Council,POST,
5811.03,Media,581,Publishing of audio books,نشر الُكتب الصوتية,UAE Media Council,POST,
5811.04,Media,581,Publishing of encyclopedias etc. on CD-ROM,نشر دوائر المعارف وما إليها على أقراص حاسوبية مدمجة,UAE Media Council,POST,
5811.11,Media,581,E-books publishing,نشر الكتب الإلكترونية,UAE Media Council,POST,
5811.15,Media,581,Visual Recorded Media Distribution,توزيع الوسائط البصرية,UAE Media Council,POST,
5811.99,Media,581,Commercial Publications Editing,اعداد وتنفيذ المطبوعات التجارية,N/A,N/A,
5812,Media,581,Publishing of directories and mailing lists,نشر الأدلة وقوائم العناوين البريدية,UAE Media Council,POST,
5812.01,Media,581,Publishing of mailing lists,نشر قوائم عناوين البريد,UAE Media Council,POST,
5812.02,Media,581,Publishing of telephone books,نشر أدلة الهواتف,UAE Media Council,POST,
5812.03,Media,581,"Publishing of other directories and compilations, such as case law, pharmaceutical compendia etc.",نشر الأدلة والتجميعات الأخرى، مثل تجميعات القوانين، و تجميعات المواد الصيدلانية، إلخ,UAE Media Council,POST,
5813,Media,581,"Publishing of newspapers, journals and periodicals",نشر الصُحف والمجلات والدوريات,UAE Media Council,POST,
5813.01,Media,581,"Publishing of newspapers, including advertising newspapers",نشر الصحف بما فيها الصحف الإعلانية,UAE Media Council,POST,
5813.02,Media,581,"Publishing of periodicals and other journals, including publishing of radio and television schedules publishing can be done in print or electronic form, including on the internet.",نشر الدوريات وغيرها من المجلات، بما في ذلك نشر برامج الإذاعة والتليفزيون,UAE Media Council,POST,
5813.04,Media,581,"Digital Newspaper Publishing, News Agency, Specialty Communication and PR",نشر الصحف الرقمية، وكالة الأنباء، الاتصالات المتخصصة والعلاقات العامة,UAE Media Council,POST,
5813.05,Media,581,News services through websites,الخدمات الاخبارية عبر المواقع الالكترونية,UAE Media Council,POST,
5815,Media,581,Audio Recordings Publication,نشر التسجيلات الصوتية,N/A,N/A,
5819,Media,581,Other publishing activities,أنشطة النشر الأخرى,UAE Media Council,POST,
5819.01,Media,581,"Publishing (including on-line) of:• Catalogs• Photos, engravings and postcards• Greeting cards• Forms• Posters, reproduction of works of art• Advertising material• Other printed matter","النشر (بما في ذلك على الشبكة) لما يلي: 
• الكتالوجات
• الصور والأشكال المحفورة وبطاقات البريد
• بطاقات التهنئة
• النماذج والاستمارات
• الملصقات ونُسخ الأعمال الفنية
• المواد الإعلانية
• المواد المطبوعة الأخرى",UAE Media Council,POST,
5819.02,Media,581,On-line publishing of statistics or other information,النشر على الشبكة للإحصاءات وغيرها من المعلومات,N/A,N/A,
5819.04,Media,581,Publications and media Materials E-Trading,المتاجرة الإلكترونية للمطبوعات والمواد الاعلامية,UAE Media Council,POST,
5819.05,Media,581,Gaming Publisher,نشر الألعاب,UAE Media Council,POST,
5819.07,Media,581,Electronic publishing and software implementation & Training,النشر الإلكتروني وتنفيذ البرامج والتدريب,UAE Media Council,POST,
5819.08,Media,581,Training & Consultancy,التدريب والاستشارات,UAE Media Council,POST,
5819.1,Media,581,"Publishing, Consultancy, Event Organizing",النشر والاستشارات وتنظيم الفعاليات,N/A,N/A,
5819.11,Media,581,"Publishing, Consultancy and Authoring Services",خدمات النشر والاستشارات والتأليف,N/A,N/A,
5819.12,Media,581,"Publishing, Event Organizing and Translating Services",خدمات النشر وتنظيم الأحداث والترجمة,N/A,N/A,
5819.13,Media,581,"Publishing, Advertising and Training",النشر والإعلان والتدريب,N/A,N/A,
5819.14,Media,581,Publishing and Advertising,النشر والإعلان,N/A,N/A,
5819.16,Media,581,Journalism/Content Writing,الصحافة / كتابة المحتوى,N/A,N/A,
5820,Media,582,Software publishing,نشر البرمجيات,UAE Media Council,POST,
5820.01,Media,582,Publishing of ready-made (non-customized) software:• Operating systems• Business and other applications• Computer games for all platforms,"نشر البرمجيات الجاهزة (غير المعدة حسب الطلب): 
• نُظم التشغيل
• تطبيقات الأعمال وغيرها من التطبيقات
• ألعاب الحاسوب التي تعمل على مختلف الأجهزة",UAE Media Council,POST,
5911,Media,591,"Motion picture, video and television programme production activities",أنشطة إنتاج الأفلام والفيديو والبرامج التليفزيونية,UAE Media Council,PRE,
5911.01,Media,591,"Production of motion pictures, videos, television programmes or television commercials",إنتاج الأفلام والفيديو وبرامج التليفزيون والإعلانات التجارية التليفزيونية,UAE Media Council,POST,
5911.02,Media,591,Theatrical Production,انتاج مسرحي,UAE Media Council,POST,
5911.03,Media,591,Documentary Filming,انتاج الافلام الوثائقية,UAE Media Council,POST,
5911.04,Media,591,Cartoons Production,انتاج الرسوم الكرتونية,UAE Media Council,POST,
5911.08,Media,591,"T.V Programs, Commercials & Visual Materials Production",انتاج وتصوير المسلسلات والاعلانات التلفزيونية والمواد المرئية,UAE Media Council,POST,
5911.09,Media,591,Special Effects Production,انتاج المؤثرات الفنية الخاصة,UAE Media Council,POST,
5911.1,Media,591,Motion Picture Studio,استوديو سينمائي,N/A,N/A,
5911.11,Media,591,Media support services,خدمات الدعم الإعلامي,UAE Media Council,POST,
5911.12,Media,591,Radio & tv broadcast consultancy,استشارات الإذاعة و البث التلفزيوني,UAE Media Council,POST,
5911.13,Media,591,Media content production,إنتاج المحتوى الإعلامي,UAE Media Council,POST,
5911.14,Media,591,Multimedia development,تطوير الإعلام متعدد الوسائط,UAE Media Council,POST,
5911.15,Media,591,Artistic Production Contracting Services,تعهدات خدمات الانتاج الفني,UAE Media Council,POST,
5912,Media,591,"Motion picture, video and television programme post-production activities",أنشطة ما بعد الإنتاج لأفلام السينما وأفلام الفيديو والبرامج التليفزيونية,UAE Media Council,POST,
5912.01,Media,591,"Post-production activities such as:• Editing, titling, subtitling, credits• Closed captioning• Computer-produced graphics, animation and special effects• Film/tape transfers","أنشطة ما بعد الإنتاج مثل: 
• التحرير ووضع العناوين والترجمة وقوائم الشرف على الأفلام
• إضافة الكتابة على الأفلام الناطقة
• وضع الأشكال والرسوم المتحركة والتأثيرات الخاصة على الأفلام بواسطة الحاسوب
• نقل الأفلام والشرائط",UAE Media Council,POST,
5912.02,Media,591,Activities of motion picture film laboratories and activities of special laboratories foranimated films:• Developing and processing motion picture film• Reproduction of motion picture film for theatrical distribution,"أنشطة مختبرات الأفلام السينمائية وأنشطة المختبرات الخاصة لأفلام الرسوم المتحركة: 
• طبع و تجهيز أفلام السينما
• إنتاج نسخ من الأفلام للتوزيع على دور السينما",UAE Media Council,POST,
5912.03,Media,591,Activities of stock footage film libraries etc.,أنشطة مكتبات الأفلام، إلخ,UAE Media Council,POST,
5913,Media,591,"Motion picture, video and television programme distribution activities",أنشطة توزيع الأفلام السينمائية والفيديو والبرامج التليفزيونية,UAE Media Council,POST,
5913.01,Media,591,"Distributing film, video tapes, DVDs and similar productions to motion picture theatres, television networks and stations and exhibitors",توزيع الأفلام السينمائية وأفلام الفيديو وأقراص الفيديو الرقمية وما شابهها من تسجيلات على دور العرض وشبكات التليفزيون و محطات التليفزيون والعارضين,UAE Media Council,POST,
5913.02,Media,591,"Acquiring film, video tape and DVD distribution rights",الحصول على حقوق توزيع الأفلام السينمائية وشرائط الفيديو وأقراص الفيديو الرقمية,UAE Media Council,POST,
5913.11,Media,591,Media archiving,أرشفة الإعلام,UAE Media Council,POST,
5914,Media,591,Motion picture projection activities,أنشطة عرض الأفلام السينمائية,UAE Media Council,POST,
5914.01,Media,591,"Motion picture or videotape projection in cinemas, in the open air or in other projection facilities",عرض الأفلام السينمائية وأفلام الفيديو في دور السينما أو الهواء الطلق أو مرافق العرض الأخرى,UAE Media Council,POST,
5914.02,Media,591,Activities of cine-clubs,أنشطة نوادي السينما,UAE Media Council,POST,
5915,Media,591,Special effects and trick photography,التأثيرات الخاصة وخدع التصوير الفوتوغرافي,N/A,N/A,
5916,Media,591,Films Production,إنتاج الأفلام,N/A,N/A,
5917,Media,591,Films Production Supportive Services,خدمات دعم إنتاج الأفلام,N/A,N/A,
5918,Media,591,Production of cartoons,إنتاج الرسوم المتحركة,N/A,N/A,
